

32 0.0140 
33 0.0278 
64 0.0015 
65 0.0043 
128 0.0003 
129 0.0006 
256 0.0001 
257 0.0001 
512 5.803487e-06 
1000 1.100648e-06 
2000 8.500364e-08 


32 0.0084 
33 0.0164 
64 0.0008 
65 0.0022 
128 0.0002 
129 0.0003 
256 3.698263e-05 
257 3.466873e-05 
512 4.639953e-06 
1000 5.454284e-07 
2000 4.884599e-08 


32 0.0252 
33 0.0961 
64 0.0041 
65 0.0126 
128 0.0006 
129 0.0006 
256 0.0001 
257 0.0002 
512 2.556429e-05 
1000 3.609481e-06 
2000 3.777963e-07 


32 0.0350 
33 0.1315 
64 0.0055 
65 0.0169 
128 0.0008 
129 0.0009 
256 0.0002 
257 0.0002 
512 3.159651e-05 
1000 4.082134e-06 
2000 4.968437e-07 
