

32 0.0014 
33 0.0016 
64 0.0055 
65 0.0015 
128 0.0416 
129 0.0065 
256 0.0574 
257 0.0137 
512 0.0582 
1000 0.0322 
2000 0.0611 


32 0.0026 
33 0.0034 
64 0.0175 
65 0.0042 
128 0.0511 
129 0.0069 
256 0.0650 
257 0.0108 
512 0.0649 
1000 0.0561 
2000 0.0939 


32 0.0070 
33 0.0064 
64 0.0033 
65 0.0033 
128 0.0313 
129 0.0347 
256 0.0741 
257 0.0712 
512 0.0655 
1000 0.0601 
2000 0.0703 


32 0.0124 
33 0.0117 
64 0.0352 
65 0.0375 
128 0.0316 
129 0.0335 
256 0.0635 
257 0.0633 
512 0.0631 
1000 0.0662 
2000 0.0833 
