

32 110.1036 
33 216.6306 
64 63.3382 
65 84.2045 
128 65.3562 
129 108.2036 
256 11109.8538 
257 3730.4915 
512 12857.1319 
1000 3115.0773 
2000 5573.0678 


32 107.5172 
33 259.4176 
64 65.1229 
65 81.0969 
128 35.0504 
129 70.2221 
256 12262.4697 
257 1560.1778 
512 12535.4293 
1000 4668.8213 
2000 6970.7471 


32 341.7024 
33 900.2435 
64 98.9446 
65 443.2638 
128 128.9213 
129 348.3850 
256 10516.7959 
257 14797.8004 
512 13201.0600 
1000 12816.8551 
2000 9776.7908 


32 590.1775 
33 2174.6266 
64 206.9014 
65 786.4403 
128 158.9772 
129 403.7220 
256 7835.0349 
257 11016.0118 
512 10697.7022 
1000 10361.8894 
2000 10228.2108 
