

32 0.0070 
33 0.0139 
64 0.0007 
65 0.0021 
128 0.0002 
129 0.0003 
256 2.529005e-05 
257 3.218576e-05 
512 2.901743e-06 
1000 5.503238e-07 
2000 4.250182e-08 


32 0.0042 
33 0.0082 
64 0.0004 
65 0.0011 
128 0.0001 
129 0.0001 
256 1.849131e-05 
257 1.733436e-05 
512 2.319976e-06 
1000 2.727142e-07 
2000 2.442300e-08 


32 0.0126 
33 0.0481 
64 0.0021 
65 0.0063 
128 0.0003 
129 0.0003 
256 0.0001 
257 0.0001 
512 1.278215e-05 
1000 1.804740e-06 
2000 1.888981e-07 


32 0.0175 
33 0.0658 
64 0.0027 
65 0.0084 
128 0.0004 
129 0.0004 
256 0.0001 
257 0.0001 
512 1.579826e-05 
1000 2.041067e-06 
2000 2.484219e-07 
