

32 0.2112 
33 0.2212 
64 0.0234 
65 0.0800 
128 0.0042 
129 0.0389 
256 0.4194 
257 0.3430 
512 0.4939 
1000 0.1516 
2000 0.2301 


32 0.2232 
33 0.2262 
64 0.0125 
65 0.0523 
128 0.0025 
129 0.0375 
256 0.4981 
257 0.3754 
512 0.4984 
1000 0.2494 
2000 0.3098 


32 0.1879 
33 0.1907 
64 0.1674 
65 0.1707 
128 0.0149 
129 0.0140 
256 0.3678 
257 0.3563 
512 0.3635 
1000 0.3564 
2000 0.2957 


32 0.2137 
33 0.1882 
64 0.0315 
65 0.0248 
128 0.0210 
129 0.0562 
256 0.3339 
257 0.3340 
512 0.3333 
1000 0.3193 
2000 0.2876 
