

32 0.0004 
33 0.0004 
64 0.0009 
65 0.0010 
128 0.0095 
129 0.0095 
256 11.2865 
257 2.5046 
512 106.3951 
1000 135.8352 
2000 3140.3301 


32 0.0004 
33 0.0005 
64 0.0012 
65 0.0013 
128 0.0059 
129 0.0079 
256 10.8536 
257 1.3774 
512 86.4573 
1000 276.5068 
2000 4624.9827 


32 0.0004 
33 0.0003 
64 0.0009 
65 0.0011 
128 0.0072 
129 0.0071 
256 2.4357 
257 2.3052 
512 16.8122 
1000 113.3801 
2000 821.7688 


32 0.0005 
33 0.0005 
64 0.0014 
65 0.0014 
128 0.0068 
129 0.0064 
256 1.3806 
257 1.3934 
512 10.8877 
1000 80.9054 
2000 654.7183 
